QueF	17	Chlamydiae,Acidobacteria,Cyanobacteria,Actinobacteria,Chlorobi,Proteobacteria,Archaeoglobi,Thermoprotei,Chloroflexi,Firmicutes,Ignavibacteriae,Planctomycetes,Thermoplasmata,Bacteroidetes,Aquificae,Rhodothermaeota,Halobacteria	2	Bacteria,Archaea
Smoa_sbd	2	Proteobacteria,Actinobacteria	1	Bacteria
SAICAR_synt	24	Thermoprotei,Actinobacteria,Methanomicrobia,Halobacteria,Thermoplasmata,Proteobacteria,Thermococci,Acidobacteria,Cyanobacteria,Chloroflexi,Chlorobi,Methanopyri,Archaeoglobi,Methanobacteria,Deinococcus-Thermus,Bacteroidetes,Spirochaetes,Fusobacteria,Firmicutes,Ignavibacteriae,Planctomycetes,Thermotogae,Aquificae,Rhodothermaeota	2	Archaea,Bacteria
DAO_C	13	Proteobacteria,Acidobacteria,Cyanobacteria,Chloroflexi,Actinobacteria,Deinococcus-Thermus,Bacteroidetes,Planctomycetes,Archaeoglobi,Spirochaetes,Methanomicrobia,Firmicutes,Aquificae	2	Bacteria,Archaea
Tocopherol_cycl	6	Cyanobacteria,Methanobacteria,Methanomicrobia,Chloroflexi,Bacteroidetes,Thermotogae	2	Bacteria,Archaea
ImpE	3	Acidobacteria,Proteobacteria,Planctomycetes	1	Bacteria
RuBisCO_small	6	Cyanobacteria,Actinobacteria,Proteobacteria,Chloroflexi,Firmicutes,Deinococcus-Thermus	1	Bacteria
DUF1479	2	Actinobacteria,Proteobacteria	1	Bacteria
tRNA_synt_2f	12	Actinobacteria,Chlamydiae,Proteobacteria,Acidobacteria,Cyanobacteria,Thermotogae,Fusobacteria,Firmicutes,Chloroflexi,Spirochaetes,Planctomycetes,Aquificae	1	Bacteria
HAMP	23	Actinobacteria,Methanomicrobia,Chlamydiae,Proteobacteria,Thermococci,Halobacteria,Acidobacteria,Cyanobacteria,Chloroflexi,Chlorobi,Archaeoglobi,Thermotogae,Deinococcus-Thermus,Bacteroidetes,Spirochaetes,Fusobacteria,Firmicutes,Ignavibacteriae,Planctomycetes,Thermoplasmata,Aquificae,Methanobacteria,Rhodothermaeota	2	Bacteria,Archaea
